AL_ID,art_id
1,12
2,17
3,19
4,5
5,25
6,32
7,1
8,6
9,11
10,11
11,5
12,9
13,11
14,24
15,12
16,29
17,18
18,11
19,3
20,17
21,10
22,33
23,33
24,2
25,17
26,8
27,2
28,33
29,7
30,19
31,17
32,6
33,20
34,12
35,11
36,8
37,21
38,21
39,19
40,19
41,19
42,19
43,11
44,9
45,17
46,23
47,9
48,11
49,26
50,19
51,7
52,27
53,11
54,32
55,4
56,34
57,28
58,31
59,2
60,30
61,11
62,13
63,5
64,5
65,9
66,1
67,22
68,19
69,16
70,17
71,3
72,34
73,15
74,5
75,9
76,24
77,14
78,17
79,17
80,44
81,55
82,45
83,56
84,39
85,35
86,52
87,49
88,37
89,40
90,38
91,36
92,41
93,51
94,43
95,53
96,51
97,47
98,38
99,40
100,39
101,37
102,41
103,57
104,48
105,50
106,40
107,54
108,37
109,40
110,46
111,51
112,42
